Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Brazil,BRA,"Population ages 10-14, male",SP.POP.1014.MA,8547617,8418166,8284209,8142659,7999320,7857057,7727130,7623386
Brazil,BRA,"Population, total",SP.POP.TOTL,201035904,202763744,204471759,206163056,207833825,209469320,211049519,212559409
Brazil,BRA,"Population, male",SP.POP.TOTL.MA.IN,99043431,99855752,100657516,101450192,102232088,102996239,103733160,104435783
Brazil,BRA,"Population, female",SP.POP.TOTL.FE.IN,101992473,102907992,103814243,104712864,105601737,106473081,107316359,108123626
Cambodia,KHM,"Population ages 00-04, female",SP.POP.0004.FE,855210,859613,864718,866694,869363,872252,873484,871690
Cambodia,KHM,"Population ages 00-04, male",SP.POP.0004.MA,902183,899384,900322,894830,896024,901884,906962,907287
Cambodia,KHM,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,32.1107839225168,31.8116602550014,31.6021790767298,31.3893146213453,31.272428607452,31.2014147627244,31.0991959381173,30.9249525912639
Cambodia,KHM,"Population ages 0-14, female",SP.POP.0014.FE.IN,2367777,2385831,2408061,2430555,2457258,2485510,2510961,2530943
Cambodia,KHM,"Population ages 0-14, male",SP.POP.0014.MA.IN,2457292,2473262,2497053,2518444,2549344,2584686,2616224,2639388
Cambodia,KHM,"Population ages 0-14, total",SP.POP.0014.TO,4825072,4859074,4905112,4948930,5006532,5070166,5127182,5170334
Cambodia,KHM,"Population ages 05-09, female",SP.POP.0509.FE,768887,788668,806471,821662,834476,844341,851915,858560
Cambodia,KHM,"Population ages 05-09, male",SP.POP.0509.MA,794714,823577,848088,867195,880296,886964,889799,893050
Cambodia,KHM,"Population ages 10-14, female",SP.POP.1014.FE,743680,737550,736872,742199,753419,768917,785562,800693
Cambodia,KHM,"Population ages 10-14, male",SP.POP.1014.MA,760395,750301,748643,756419,773024,795838,819463,839051
Cambodia,KHM,"Population, total",SP.POP.TOTL,15026330,15274506,15521435,15766290,16009413,16249795,16486542,16718971
Cambodia,KHM,"Population, male",SP.POP.TOTL.MA.IN,7326766,7448809,7570441,7691291,7811386,7930228,8047364,8162424
Cambodia,KHM,"Population, female",SP.POP.TOTL.FE.IN,7699564,7825697,7950994,8074999,8198027,8319567,8439178,8556547
Central African Republic,CAF,"Population ages 00-04, female",SP.POP.0004.FE,364677,362728,362555,361424,360669,360868,362546,366177
Central African Republic,CAF,"Population ages 00-04, male",SP.POP.0004.MA,370839,368711,368440,367182,366356,366564,368311,372065
Central African Republic,CAF,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,44.9442708811082,45.1005840944855,45.204810857368,44.954542910197,44.6462300123389,44.294320550801,43.9200157633475,43.541727789353
Central African Republic,CAF,"Population ages 0-14, female",SP.POP.0014.FE.IN,994150,1001269,1010146,1014384,1020263,1027612,1036055,1045376
Central African Republic,CAF,"Population ages 0-14, male",SP.POP.0014.MA.IN,1004942,1012097,1020983,1025514,1031687,1039326,1048030,1057587
Central African Republic,CAF,"Population ages 0-14, total",SP.POP.0014.TO,1999096,2013367,2031129,2039895,2051951,2066939,2084083,2102963
Central African Republic,CAF,"Population ages 05-09, female",SP.POP.0509.FE,333931,336725,338910,340475,342434,344337,345812,346748
Central African Republic,CAF,"Population ages 05-09, male",SP.POP.0509.MA,337222,340245,342559,344352,346423,348328,349744,350619
Central African Republic,CAF,"Population ages 10-14, female",SP.POP.1014.FE,295542,301816,308681,312485,317160,322407,327697,332451
Central African Republic,CAF,"Population ages 10-14, male",SP.POP.1014.MA,296881,303141,309984,313980,318908,324434,329975,334903
Central African Republic,CAF,"Population, total",SP.POP.TOTL,4447945,4464171,4493171,4537683,4596023,4666375,4745179,4829764
Central African Republic,CAF,"Population, male",SP.POP.TOTL.MA.IN,2203461,2211896,2226565,2248836,2277876,2312820,2351973,2394042
Central African Republic,CAF,"Population, female",SP.POP.TOTL.FE.IN,2244484,2252275,2266606,2288847,2318147,2353555,2393206,2435722
China,CHN,"Population ages 00-04, female",SP.POP.0004.FE,39207310,39366438,39474973,39596016,39542519,39307468,38930156,38455504
China,CHN,"Population ages 00-04, male",SP.POP.0004.MA,45360407,45331668,45261623,45125907,44885574,44502954,43971560,43306974
